log_id,machine_id,operator_id,timestamp,engine_hours,rpm,hydraulic_pressure,fuel_level,fuel_used_l,idle_time_min,active_time_min,speed_kph,tilt_angle,temperature_c,seatbelt,proximity_alert,fault_codes,weather,soil_type,shift
13,EXC004,OP002,2024-01-01 06:00:00,1204.3,2327,145.0,5.5,13.4,38,67,17.8,17.9,103.0,fastened,1,P0100,windy,loam,night
14,EXC004,OP010,2024-01-01 06:30:00,3584.5,1491,259.8,73.2,4.84,72,35,4.7,17.3,76.8,fastened,0,NONE,sunny,loam,day
15,EXC004,OP007,2024-01-01 07:00:00,3373.4,2035,143.3,28.1,14.63,52,53,4.2,9.6,92.3,fastened,1,NONE,windy,rock,night
16,EXC004,OP004,2024-01-01 07:30:00,4222.8,874,164.1,96.9,12.75,58,109,3.2,19.7,31.6,fastened,0,NONE,windy,clay,day
17,EXC003,OP005,2024-01-01 08:00:00,2309.1,1335,211.4,41.2,9.93,70,19,12.4,8.4,87.4,fastened,0,NONE,sunny,sand,night
18,EXC001,OP008,2024-01-01 08:30:00,353.1,890,207.1,7.6,6.18,30,94,8.1,19.0,66.4,fastened,1,NONE,rainy,rock,night
19,EXC005,OP008,2024-01-01 09:00:00,4953.7,1035,232.2,7.6,10.81,3,18,7.0,0.7,79.9,fastened,0,NONE,cloudy,loam,night
20,EXC003,OP005,2024-01-01 09:30:00,3052.4,1702,196.2,57.6,12.33,79,60,3.7,7.6,56.9,fastened,0,NONE,rainy,loam,night
21,EXC003,OP004,2024-01-01 10:00:00,5245.5,1115,302.3,98.7,4.9,55,83,16.0,18.8,76.6,fastened,0,NONE,cloudy,rock,night
22,EXC002,OP007,2024-01-01 10:30:00,958.5,1074,284.8,98.1,14.9,50,115,8.0,19.8,32.7,fastened,1,NONE,sunny,loam,night
23,EXC001,OP007,2024-01-01 11:00:00,208.8,2392,293.4,37.0,13.67,51,37,10.9,16.6,33.4,fastened,0,NONE,cloudy,rock,day
24,EXC005,OP006,2024-01-01 11:30:00,2061.5,910,238.5,50.9,7.54,76,15,2.0,14.7,89.9,fastened,0,NONE,sunny,sand,day
25,EXC004,OP001,2024-01-01 12:00:00,3706.7,940,239.7,14.5,10.98,69,92,1.9,17.9,39.3,fastened,0,NONE,cloudy,clay,night
26,EXC004,OP005,2024-01-01 12:30:00,3213.2,2273,234.0,54.6,8.1,60,108,1.2,15.6,31.0,fastened,0,NONE,windy,loam,day
27,EXC003,OP007,2024-01-01 13:00:00,6501.4,1590,195.7,62.0,11.53,70,72,6.6,5.6,98.4,fastened,0,NONE,windy,rock,night
28,EXC005,OP010,2024-01-01 13:30:00,3084.9,2220,170.9,28.9,12.49,25,16,8.5,10.3,49.9,fastened,0,NONE,sunny,loam,night
29,EXC003,OP006,2024-01-01 14:00:00,4290.5,1364,230.2,63.2,0.84,64,65,4.4,14.5,73.7,fastened,0,NONE,rainy,rock,day
30,EXC003,OP004,2024-01-01 14:30:00,4788.8,1617,105.6,90.5,1.65,87,53,6.3,12.9,92.9,fastened,0,NONE,sunny,sand,night
31,EXC003,OP006,2024-01-01 15:00:00,272.5,1055,101.6,5.1,5.38,21,59,0.1,19.5,85.9,fastened,1,P0562,sunny,rock,night
32,EXC002,OP002,2024-01-01 15:30:00,4169.6,1586,287.4,26.7,13.81,51,15,6.3,10.4,33.5,fastened,0,P0100,rainy,rock,day
33,EXC001,OP001,2024-01-01 16:00:00,2824.2,1767,110.2,24.9,6.27,61,44,2.1,3.9,72.1,fastened,0,NONE,cloudy,loam,night
34,EXC003,OP007,2024-01-01 16:30:00,3428.1,1051,215.5,16.8,13.37,46,119,2.3,4.7,70.6,fastened,0,NONE,rainy,sand,night
35,EXC005,OP010,2024-01-01 17:00:00,892.3,2062,235.3,20.8,7.21,87,15,0.1,18.6,56.3,unfastened,0,NONE,sunny,sand,day
36,EXC001,OP009,2024-01-01 17:30:00,6284.3,616,143.6,64.5,4.69,84,110,12.5,0.2,86.5,fastened,0,NONE,sunny,sand,night
37,EXC005,OP006,2024-01-01 18:00:00,7545.0,2334,297.1,14.8,13.56,19,66,16.8,19.1,102.3,fastened,0,P0562,rainy,clay,night
38,EXC005,OP001,2024-01-01 18:30:00,275.9,2255,141.8,75.2,8.63,12,74,11.2,1.2,41.0,fastened,0,NONE,sunny,sand,night
39,EXC002,OP010,2024-01-01 19:00:00,4850.8,1183,294.6,89.3,5.73,76,112,1.7,8.6,40.9,fastened,0,NONE,sunny,sand,day
40,EXC004,OP005,2024-01-01 19:30:00,6134.4,1898,267.9,93.0,1.14,61,33,17.8,17.6,85.1,fastened,0,NONE,windy,clay,night
41,EXC001,OP003,2024-01-01 20:00:00,2350.0,2210,153.0,67.7,2.11,52,118,17.6,9.0,64.1,fastened,0,NONE,rainy,loam,night
42,EXC004,OP009,2024-01-01 20:30:00,6321.7,769,133.2,23.8,2.52,72,40,8.4,18.1,89.6,fastened,0,NONE,windy,rock,day
43,EXC004,OP008,2024-01-01 21:00:00,5095.6,804,169.6,13.1,5.79,71,48,1.9,2.2,40.6,fastened,1,NONE,rainy,clay,night
44,EXC002,OP008,2024-01-01 21:30:00,7440.4,948,187.5,27.0,9.31,84,59,13.0,11.3,33.0,fastened,0,P0100,cloudy,clay,night
45,EXC001,OP003,2024-01-01 22:00:00,7849.9,1349,154.1,96.4,4.96,61,76,17.3,12.8,82.3,fastened,0,NONE,rainy,rock,day
46,EXC005,OP010,2024-01-01 22:30:00,434.5,1166,319.8,96.4,1.45,86,45,14.0,19.6,104.6,fastened,0,P0217,windy,clay,night
47,EXC003,OP005,2024-01-01 23:00:00,3615.0,1363,150.5,41.3,4.34,72,97,11.2,2.1,37.1,fastened,0,NONE,rainy,clay,day
48,EXC005,OP006,2024-01-01 23:30:00,4421.2,2224,282.7,36.0,6.43,69,12,11.0,7.4,94.8,fastened,0,NONE,cloudy,sand,night
49,EXC004,OP008,2024-01-02 00:00:00,1259.3,1918,135.0,53.5,14.89,49,83,17.6,14.5,58.9,fastened,0,P0100,windy,loam,day
50,EXC004,OP007,2024-01-02 00:30:00,2756.7,620,315.7,32.7,6.2,60,82,1.3,21.6,31.3,fastened,0,NONE,rainy,clay,night
51,EXC004,OP002,2024-01-02 01:00:00,7902.4,1057,149.6,98.1,1.79,58,68,2.7,18.7,68.3,fastened,0,NONE,windy,rock,day
52,EXC001,OP004,2024-01-02 01:30:00,228.2,2304,192.8,26.0,8.93,64,77,15.0,18.6,50.9,fastened,0,P0562,rainy,rock,night
53,EXC002,OP004,2024-01-02 02:00:00,3674.8,1383,222.9,40.1,13.83,46,92,2.6,11.4,82.0,fastened,0,NONE,cloudy,sand,day
54,EXC003,OP010,2024-01-02 02:30:00,6757.0,1773,126.5,45.8,11.91,1,109,6.9,12.4,51.6,fastened,0,P0100,windy,rock,night
55,EXC003,OP008,2024-01-02 03:00:00,2658.8,1855,279.7,16.9,12.63,86,34,5.1,18.9,66.1,fastened,0,NONE,rainy,rock,night
56,EXC001,OP004,2024-01-02 03:30:00,3890.4,1793,160.4,41.4,13.96,74,62,4.4,19.1,45.0,fastened,0,NONE,windy,clay,day
57,EXC003,OP008,2024-01-02 04:00:00,7826.6,1683,220.8,86.4,9.73,31,71,0.5,17.7,92.1,fastened,1,NONE,windy,loam,day
58,EXC001,OP008,2024-01-02 04:30:00,3851.5,1464,220.9,18.3,14.93,44,47,10.2,18.0,99.4,fastened,0,NONE,cloudy,clay,night
59,EXC004,OP004,2024-01-02 05:00:00,1134.3,1765,232.6,60.5,0.98,11,117,7.2,19.4,60.3,fastened,0,NONE,sunny,sand,day
60,EXC004,OP005,2024-01-02 05:30:00,508.6,2229,112.2,43.6,12.61,84,66,9.9,2.5,63.7,fastened,0,P0100,sunny,clay,night
61,EXC005,OP009,2024-01-02 06:00:00,7568.8,1301,137.1,21.2,12.93,20,75,5.5,6.4,103.7,fastened,1,NONE,rainy,rock,night
62,EXC004,OP006,2024-01-02 06:30:00,2199.9,1519,135.5,6.2,13.79,33,31,16.9,21.5,40.7,fastened,0,NONE,windy,rock,night
63,EXC002,OP002,2024-01-02 07:00:00,4082.1,924,166.5,31.0,7.43,38,55,10.6,12.0,90.6,fastened,0,P0100,windy,clay,day
64,EXC005,OP008,2024-01-02 07:30:00,816.5,1239,131.9,10.9,11.92,23,78,17.3,3.9,72.5,unfastened,0,NONE,sunny,sand,day
65,EXC003,OP006,2024-01-02 08:00:00,3446.9,644,302.8,40.8,3.33,69,57,6.3,11.1,96.1,fastened,0,NONE,sunny,loam,day
66,EXC002,OP006,2024-01-02 08:30:00,7447.8,1752,212.8,82.0,9.25,89,94,0.0,14.2,51.9,fastened,0,NONE,rainy,rock,night
67,EXC005,OP008,2024-01-02 09:00:00,4069.1,980,237.2,73.4,5.7,76,25,14.1,18.2,52.2,fastened,0,NONE,cloudy,sand,night
68,EXC002,OP010,2024-01-02 09:30:00,7772.0,1583,178.6,95.0,9.14,47,26,14.9,17.9,54.4,fastened,0,NONE,cloudy,rock,night
69,EXC001,OP004,2024-01-02 10:00:00,2144.8,695,160.8,45.6,10.3,76,47,1.1,1.1,31.2,unfastened,0,NONE,sunny,rock,day
70,EXC003,OP005,2024-01-02 10:30:00,4085.9,823,210.7,72.2,5.53,77,45,11.3,10.0,42.7,fastened,0,NONE,sunny,sand,day
71,EXC004,OP002,2024-01-02 11:00:00,6890.3,651,164.8,68.2,3.64,66,99,11.9,0.5,104.6,fastened,1,NONE,rainy,clay,night
72,EXC001,OP007,2024-01-02 11:30:00,3641.2,1306,175.6,25.6,5.16,81,105,2.6,19.5,48.7,unfastened,0,P0562,rainy,clay,day
73,EXC003,OP005,2024-01-02 12:00:00,2308.0,1781,199.6,33.8,10.13,35,61,9.9,3.8,31.5,unfastened,1,NONE,windy,loam,day
74,EXC001,OP004,2024-01-02 12:30:00,6858.3,883,211.3,55.3,10.31,60,65,4.4,13.7,50.9,unfastened,0,NONE,cloudy,sand,night
75,EXC004,OP007,2024-01-02 13:00:00,3180.1,695,316.5,80.7,11.25,77,42,0.3,12.6,60.6,fastened,0,NONE,rainy,loam,day
76,EXC003,OP005,2024-01-02 13:30:00,4292.7,2124,149.1,48.9,2.33,41,68,15.6,13.8,71.1,fastened,0,P0562,windy,sand,day
77,EXC002,OP005,2024-01-02 14:00:00,7814.6,1558,207.4,26.6,12.37,14,87,8.9,12.4,35.1,fastened,0,P0100,cloudy,rock,night
78,EXC002,OP005,2024-01-02 14:30:00,1573.2,2366,132.9,99.4,10.48,49,89,14.1,15.7,89.3,fastened,0,P0562,sunny,sand,day
79,EXC003,OP003,2024-01-02 15:00:00,2481.1,675,177.0,16.0,0.94,36,116,13.0,13.8,91.9,fastened,0,NONE,windy,rock,night
80,EXC004,OP002,2024-01-02 15:30:00,345.4,2078,257.8,95.8,5.37,76,73,17.9,2.0,46.0,fastened,0,NONE,sunny,loam,night
81,EXC005,OP009,2024-01-02 16:00:00,3195.5,2211,138.4,81.9,7.27,42,47,7.9,8.1,89.9,fastened,0,NONE,cloudy,loam,day
82,EXC003,OP001,2024-01-02 16:30:00,1681.4,2392,227.9,84.7,5.73,86,17,7.7,12.0,57.1,fastened,0,NONE,sunny,clay,night
83,EXC001,OP004,2024-01-02 17:00:00,5472.3,1529,191.7,80.5,2.2,26,85,5.1,7.2,61.7,fastened,0,NONE,rainy,rock,night
84,EXC005,OP007,2024-01-02 17:30:00,1532.4,1956,111.3,24.8,3.51,29,98,11.3,16.7,100.2,fastened,1,NONE,cloudy,sand,day
85,EXC004,OP002,2024-01-02 18:00:00,5431.0,1851,305.3,65.1,0.86,3,70,8.8,7.0,96.9,fastened,0,NONE,cloudy,clay,day
86,EXC004,OP007,2024-01-02 18:30:00,2181.5,843,290.8468756958378,76.9,1.85,66,111,13.1,18.2,58.1,fastened,0,NONE,rainy,loam,day
87,EXC001,OP008,2024-01-02 19:00:00,2906.2,1810,272.5,75.8,4.36,6,44,6.4,3.2,66.6,fastened,0,P0217,cloudy,loam,night
88,EXC002,OP007,2024-01-02 19:30:00,2856.0,2264,191.6,30.8,12.39,25,15,2.4,16.9,51.5,fastened,0,NONE,cloudy,loam,day
89,EXC004,OP004,2024-01-02 20:00:00,5762.3,1951,306.2,22.2,8.14,81,79,15.5,4.0,68.7,fastened,1,NONE,cloudy,loam,day
90,EXC005,OP001,2024-01-02 20:30:00,3785.4,1465,163.9,36.2,6.66,54,23,14.9,11.6,81.1,fastened,0,NONE,sunny,sand,night
91,EXC003,OP009,2024-01-02 21:00:00,2954.3,1541,190.7,50.6,10.1,50,19,6.3,7.1,37.0,fastened,1,NONE,windy,rock,night
92,EXC005,OP004,2024-01-02 21:30:00,6835.7,1067,267.0,59.5,8.35,72,87,12.4,14.0,99.0,fastened,1,NONE,windy,rock,day
93,EXC005,OP009,2024-01-02 22:00:00,4618.4,1789,175.6,84.5,2.41,69,57,8.9,4.7,83.9,fastened,0,NONE,rainy,rock,night
94,EXC002,OP002,2024-01-02 22:30:00,1789.3,1034,180.2,78.1,3.73,79,76,13.7,17.5,37.3,fastened,0,NONE,sunny,clay,day
95,EXC005,OP002,2024-01-02 23:00:00,7210.7,1215,318.9,69.2,3.73,59,92,7.0,12.6,95.2,fastened,0,NONE,cloudy,loam,day
96,EXC002,OP008,2024-01-02 23:30:00,2806.9,1077,222.2,30.0,9.2,40,52,9.6,21.1,85.8,fastened,0,P0100,cloudy,loam,night
97,EXC002,OP010,2024-01-03 00:00:00,407.9,1203,251.7,50.5,7.19,11,77,1.0,15.7,53.5,fastened,1,P0100,sunny,loam,day
98,EXC004,OP009,2024-01-03 00:30:00,4007.3,1260,241.6,36.9,6.12,33,69,3.1,13.4,69.1,fastened,0,NONE,windy,rock,night
99,EXC004,OP008,2024-01-03 01:00:00,1079.1,749,282.1,27.3,8.57,63,73,14.1,18.2,94.5,fastened,1,NONE,cloudy,sand,night
100,EXC001,OP003,2024-01-03 01:30:00,1983.9,1891,289.6,6.0,14.57,22,87,6.9,4.8,102.6,fastened,0,NONE,rainy,sand,day
101,EXC005,OP010,2024-01-03 02:00:00,6002.2,880,223.9,37.2,5.06,75,51,0.6,13.9,51.1,fastened,0,NONE,rainy,rock,day
102,EXC001,OP007,2024-01-03 02:30:00,1132.9,2309,164.8,29.3,8.04,12,65,3.0,8.6,78.8,fastened,0,NONE,cloudy,sand,night
103,EXC005,OP002,2024-01-03 03:00:00,6474.9,925,105.0,59.3,7.47,5,75,7.4,16.4,94.5,fastened,0,NONE,cloudy,loam,night
104,EXC001,OP002,2024-01-03 03:30:00,7501.6,1804,235.2,10.9,10.89,32,25,12.9,0.5,104.1,fastened,0,NONE,windy,sand,night
105,EXC004,OP009,2024-01-03 04:00:00,4891.6,922,281.6,30.7,11.09,20,33,6.5,9.4,35.3,fastened,0,NONE,windy,sand,day
106,EXC004,OP003,2024-01-03 04:30:00,5711.8,1584,199.1,9.3,11.07,78,19,13.4,14.3,67.8,fastened,0,NONE,rainy,rock,day
107,EXC004,OP008,2024-01-03 05:00:00,5737.3,1483,136.2,65.9,3.42,34,31,15.4,10.1,95.5,fastened,1,NONE,rainy,sand,day
108,EXC004,OP002,2024-01-03 05:30:00,7943.2,1407,298.30580426930567,59.0,7.01,37,58,6.1,5.2,30.2,fastened,0,NONE,sunny,clay,night
109,EXC003,OP003,2024-01-03 06:00:00,2798.2,1778,212.2,37.1,12.26,36,113,14.4,10.2,62.8,fastened,0,NONE,sunny,rock,night
110,EXC004,OP003,2024-01-03 06:30:00,1386.6,2090,284.1,19.0,6.03,28,111,2.3,18.7,73.8,fastened,0,NONE,sunny,rock,day
111,EXC002,OP003,2024-01-03 07:00:00,4201.4,1170,137.8,96.0,14.77,82,93,7.5,4.6,69.5,fastened,0,NONE,windy,sand,day
112,EXC004,OP007,2024-01-03 07:30:00,4312.7,2338,234.7,60.5,5.79,66,71,1.8,8.1,85.0,fastened,0,NONE,windy,clay,day
113,EXC003,OP010,2024-01-03 08:00:00,1505.5,932,265.7,69.5,7.72,14,32,0.9,21.8,34.9,fastened,0,NONE,sunny,sand,night
114,EXC003,OP010,2024-01-03 08:30:00,4943.6,1127,305.9,55.5,7.38,19,49,1.2,20.1,88.9,fastened,0,NONE,cloudy,loam,day
115,EXC003,OP008,2024-01-03 09:00:00,211.6,1159,125.7,81.6,6.79,7,94,1.9,0.7,51.2,fastened,0,NONE,cloudy,loam,night
116,EXC003,OP003,2024-01-03 09:30:00,7428.6,2316,303.8,90.2,12.76,23,109,15.0,11.7,91.8,fastened,0,P0562,windy,clay,day
117,EXC001,OP010,2024-01-03 10:00:00,2190.1,813,232.3,41.4,2.75,59,115,9.8,1.4,61.5,fastened,0,P0217,cloudy,sand,day
118,EXC001,OP006,2024-01-03 10:30:00,412.5,1311,268.7,70.6,8.73,84,52,17.1,20.3,33.2,fastened,0,NONE,sunny,loam,night
119,EXC002,OP006,2024-01-03 11:00:00,955.2,1363,111.8,26.8,9.47,43,63,9.7,9.7,102.3,fastened,0,NONE,rainy,sand,day
120,EXC001,OP008,2024-01-03 11:30:00,1998.0,2040,211.4,66.9,12.84,7,66,11.3,9.2,88.5,fastened,0,NONE,sunny,sand,night
121,EXC003,OP008,2024-01-03 12:00:00,2263.9,1474,237.0,42.9,9.33,4,16,3.3,6.0,56.1,fastened,0,P0562,rainy,rock,day
122,EXC004,OP010,2024-01-03 12:30:00,359.2,2340,167.5,5.6,14.42,37,22,9.7,12.5,50.3,fastened,0,NONE,windy,sand,night
123,EXC004,OP006,2024-01-03 13:00:00,2306.9,1932,195.0,95.8,13.15,23,14,6.9,3.2,74.2,unfastened,0,NONE,sunny,loam,day
124,EXC003,OP007,2024-01-03 13:30:00,1624.2,1866,221.9,87.5,5.56,51,91,16.8,17.6,104.0,fastened,0,NONE,windy,sand,night
125,EXC005,OP008,2024-01-03 14:00:00,3091.1,1955,221.6,32.6,12.97,10,34,16.8,10.8,51.8,fastened,1,NONE,rainy,sand,night
126,EXC003,OP003,2024-01-03 14:30:00,3142.8,890,109.2,99.8,14.4,20,87,3.6,12.5,101.1,fastened,0,NONE,sunny,rock,day
127,EXC001,OP004,2024-01-03 15:00:00,2778.2,2390,196.7,35.1,4.23,50,51,11.2,18.5,54.8,fastened,0,NONE,sunny,rock,day
128,EXC004,OP007,2024-01-03 15:30:00,2690.6,1655,147.0,48.6,9.35,25,97,11.5,4.1,82.8,fastened,0,NONE,sunny,sand,night
129,EXC003,OP001,2024-01-03 16:00:00,808.9,975,301.7,85.9,4.59,32,22,10.1,3.9,58.6,fastened,0,NONE,windy,sand,night
130,EXC004,OP004,2024-01-03 16:30:00,299.1,813,314.8,33.9,9.92,19,45,2.2,9.3,36.4,fastened,0,NONE,rainy,sand,night
131,EXC003,OP008,2024-01-03 17:00:00,1696.7,844,165.9,47.8,1.86,4,32,11.8,17.3,100.2,fastened,0,P0100,cloudy,clay,day
132,EXC003,OP010,2024-01-03 17:30:00,6077.5,2020,138.5,68.2,11.15,31,57,14.4,1.3,42.3,fastened,0,NONE,rainy,clay,day
133,EXC001,OP006,2024-01-03 18:00:00,7927.4,1782,148.3,17.4,6.59,29,71,6.2,17.5,100.9,fastened,0,NONE,cloudy,loam,day
134,EXC003,OP004,2024-01-03 18:30:00,7435.4,1106,205.1,45.1,9.02,80,28,9.3,11.0,37.7,fastened,0,NONE,cloudy,sand,night
135,EXC004,OP005,2024-01-03 19:00:00,4083.3,1926,292.4,34.4,0.88,80,83,2.1,12.4,50.0,fastened,0,NONE,rainy,sand,night
136,EXC002,OP007,2024-01-03 19:30:00,4301.4,1851,210.0,69.3,10.58,38,116,16.8,12.4,99.1,fastened,0,NONE,sunny,loam,night
137,EXC004,OP006,2024-01-03 20:00:00,2585.2,2069,112.2,17.9,7.69,25,14,2.0,1.2,79.4,fastened,0,NONE,windy,loam,day
138,EXC001,OP001,2024-01-03 20:30:00,6214.1,2238,315.35506941881226,27.1,9.57,37,19,3.8,5.5,44.2,fastened,1,NONE,windy,clay,day
139,EXC002,OP006,2024-01-03 21:00:00,6141.6,769,150.0,72.6,5.08,73,114,5.4,16.6,74.4,fastened,0,NONE,windy,sand,day
140,EXC003,OP005,2024-01-03 21:30:00,6769.8,925,285.4,19.8,2.61,34,81,14.9,9.1,43.5,fastened,1,NONE,sunny,loam,day
141,EXC005,OP008,2024-01-03 22:00:00,7174.5,1984,236.7,45.1,6.81,68,111,12.6,12.3,95.6,fastened,0,NONE,cloudy,sand,day
142,EXC002,OP009,2024-01-03 22:30:00,3531.4,1307,223.9,72.7,14.19,86,87,0.1,20.8,33.7,unfastened,1,NONE,cloudy,loam,day
143,EXC002,OP010,2024-01-03 23:00:00,6158.3,1325,170.2,77.7,3.8,36,88,3.3,1.0,69.7,fastened,1,NONE,rainy,rock,night
144,EXC003,OP007,2024-01-03 23:30:00,6470.5,1764,304.5,14.0,10.3,10,27,13.5,9.9,34.8,fastened,0,NONE,cloudy,rock,night
145,EXC005,OP004,2024-01-04 00:00:00,2536.8,1683,172.9,85.9,1.22,10,66,7.3,7.9,82.1,fastened,0,P0100,cloudy,rock,night
146,EXC005,OP005,2024-01-04 00:30:00,7441.0,799,283.7,73.8,10.91,71,50,0.5,2.3,100.2,fastened,0,NONE,sunny,clay,night
147,EXC001,OP002,2024-01-04 01:00:00,845.3,2399,297.1,37.2,3.96,37,101,17.4,20.9,92.3,fastened,0,NONE,rainy,loam,night
148,EXC002,OP010,2024-01-04 01:30:00,7954.7,914,206.3,77.6,7.05,29,14,2.7,21.2,57.9,fastened,0,NONE,rainy,rock,night
149,EXC005,OP009,2024-01-04 02:00:00,6183.7,774,296.7,74.2,5.83,55,11,9.2,6.9,47.8,fastened,0,NONE,rainy,clay,night
150,EXC001,OP009,2024-01-04 02:30:00,836.8,839,160.9,62.1,2.14,82,71,4.5,20.8,39.1,fastened,0,NONE,cloudy,loam,night
151,EXC005,OP004,2024-01-04 03:00:00,5284.2,2373,244.9,58.1,5.51,38,116,13.3,0.8,95.5,fastened,0,NONE,windy,sand,night
152,EXC002,OP004,2024-01-04 03:30:00,370.0,1331,119.4,74.8,5.58,28,119,14.0,21.6,36.1,fastened,1,P0562,rainy,sand,day
153,EXC005,OP009,2024-01-04 04:00:00,6184.5,1387,204.3,99.9,8.07,77,75,7.1,18.4,77.2,fastened,1,NONE,sunny,rock,day
154,EXC002,OP006,2024-01-04 04:30:00,6413.9,1768,147.8,60.0,14.6,7,57,11.9,4.7,57.5,fastened,0,P0217,cloudy,sand,night
155,EXC003,OP008,2024-01-04 05:00:00,4859.0,2220,113.8,81.8,7.32,75,40,16.4,13.2,104.7,unfastened,0,NONE,rainy,clay,day
156,EXC004,OP005,2024-01-04 05:30:00,6869.2,1633,100.8,75.7,13.76,46,118,14.7,17.6,68.2,unfastened,0,P0100,sunny,sand,night
157,EXC001,OP005,2024-01-04 06:00:00,873.3,705,171.4,86.3,7.19,1,30,7.5,7.0,71.2,fastened,0,NONE,cloudy,rock,day
158,EXC003,OP007,2024-01-04 06:30:00,2279.8,881,312.88048844476714,95.7,2.06,20,23,7.9,7.8,108.80416601094507,fastened,1,NONE,windy,sand,night
159,EXC003,OP009,2024-01-04 07:00:00,3372.0,2277,200.2,23.3,3.84,61,65,16.0,13.8,102.7,fastened,1,NONE,cloudy,rock,night
160,EXC004,OP004,2024-01-04 07:30:00,435.4,1411,166.4,20.7,6.41,67,53,0.6,3.2,73.8,fastened,0,NONE,rainy,clay,day
161,EXC005,OP009,2024-01-04 08:00:00,3640.9,901,318.1,60.7,5.22,17,64,0.4,2.6,89.7,fastened,0,NONE,rainy,sand,day
162,EXC004,OP003,2024-01-04 08:30:00,2195.2,1265,306.7,47.7,13.05,59,109,3.7,5.5,77.6,fastened,0,NONE,cloudy,clay,day
163,EXC003,OP005,2024-01-04 09:00:00,3202.6,1202,127.6,59.2,10.34,89,39,14.9,16.3,62.1,fastened,0,NONE,windy,clay,night
164,EXC003,OP010,2024-01-04 09:30:00,3458.3,605,191.3,80.8,8.89,81,106,2.8,8.1,34.3,fastened,0,NONE,sunny,rock,day
165,EXC003,OP010,2024-01-04 10:00:00,7047.4,807,242.7,93.5,7.62,77,33,5.1,11.2,83.8,fastened,0,NONE,cloudy,clay,night
166,EXC005,OP010,2024-01-04 10:30:00,2235.7,2243,261.4,44.7,6.26,17,45,11.3,4.3,82.5,fastened,0,NONE,rainy,sand,day
167,EXC002,OP004,2024-01-04 11:00:00,7160.6,792,180.6,73.2,9.38,57,10,3.3,4.3,38.8,fastened,0,NONE,sunny,loam,night
168,EXC001,OP009,2024-01-04 11:30:00,3465.2,1157,264.2,23.7,2.31,63,84,5.5,14.3,47.3,fastened,0,NONE,windy,clay,day
169,EXC002,OP010,2024-01-04 12:00:00,2689.7,1442,127.3,55.8,2.86,9,104,8.4,2.4,84.9,fastened,0,NONE,sunny,clay,day
170,EXC001,OP010,2024-01-04 12:30:00,4069.8,1572,173.0,7.1,4.9,28,107,4.1,14.7,41.2,fastened,0,NONE,rainy,loam,day
171,EXC001,OP001,2024-01-04 13:00:00,3400.2,2184,257.6,52.9,2.98,79,28,17.9,8.8,81.8,fastened,0,NONE,rainy,sand,night
172,EXC001,OP008,2024-01-04 13:30:00,2133.2,2261,237.7,56.8,10.32,89,94,2.9,14.8,83.8,fastened,0,NONE,windy,sand,night
173,EXC004,OP010,2024-01-04 14:00:00,4071.2,1135,284.2,74.9,0.86,15,25,15.3,8.4,56.5,fastened,0,NONE,sunny,rock,night
174,EXC004,OP008,2024-01-04 14:30:00,1299.2,1570,110.3,66.7,2.82,65,79,8.5,18.6,49.4,fastened,1,NONE,sunny,clay,night
