task_id,machine_id,operator_id,task_type,estimated_time,actual_time,weather,soil_type,operator_skill,machine_age_yrs,load_weight_t,completed,date
26,EXC003,OP003,trench,73.0,77.5,cloudy,clay,senior,10.0,13.3,1,2024-11-23 00:00:00
27,EXC005,OP009,dig,56.6,60.6,windy,sand,mid,7.3,12.0,1,2024-06-14 00:00:00
28,EXC003,OP003,trench,65.5,77.2,rainy,sand,senior,4.9,6.7,0,2024-01-22 00:00:00
29,EXC001,OP001,trench,61.4,88.9,rainy,clay,mid,4.2,7.6,1,2024-12-12 00:00:00
30,EXC004,OP002,load,31.1,58.3,rainy,sand,senior,10.7,16.6,1,2024-06-19 00:00:00
31,EXC002,OP005,trench,74.1,104.8,windy,clay,junior,10.2,18.8,1,2024-01-04 00:00:00
32,EXC001,OP006,grade,36.5,65.1,cloudy,rock,junior,2.5,15.6,1,2024-10-23 00:00:00
33,EXC001,OP004,grade,47.2,63.2,rainy,clay,senior,8.6,13.3,1,2024-08-29 00:00:00
34,EXC002,OP008,compact,44.9,41.9,sunny,loam,senior,5.6,3.6,1,2024-04-30 00:00:00
35,EXC005,OP009,dig,65.6,70.5,rainy,loam,senior,10.5,7.2,1,2024-11-02 00:00:00
36,EXC005,OP007,grade,46.2,57.4,windy,sand,senior,10.1,23.3,1,2024-02-28 00:00:00
37,EXC001,OP004,trench,70.1,63.1,sunny,loam,senior,8.9,13.0,1,2024-07-11 00:00:00
38,EXC005,OP003,trench,61.0,62.9,windy,loam,mid,6.2,23.4,1,2024-07-12 00:00:00
39,EXC003,OP007,compact,37.6,48.6,rainy,sand,mid,8.6,16.4,1,2024-11-27 00:00:00
40,EXC004,OP008,dig,50.3,58.5,windy,sand,mid,11.0,6.5,1,2024-01-11 00:00:00
41,EXC001,OP008,trench,65.1,81.6,cloudy,clay,mid,10.1,1.7,0,2024-05-17 00:00:00
42,EXC001,OP008,grade,47.3,56.4,sunny,clay,senior,10.1,2.2,1,2024-05-11 00:00:00
43,EXC003,OP002,dig,60.1,82.3,windy,rock,mid,1.9,21.2,1,2024-10-09 00:00:00
44,EXC002,OP002,compact,45.3,53.1,cloudy,clay,mid,6.3,10.3,1,2024-08-03 00:00:00
45,EXC001,OP008,dig,54.1,74.6,windy,loam,junior,0.7,17.7,1,2024-08-21 00:00:00
46,EXC004,OP007,compact,38.9,54.3,sunny,rock,mid,4.1,21.8,0,2024-03-21 00:00:00
47,EXC005,OP004,compact,42.8,45.3,sunny,clay,senior,3.1,2.9,1,2024-04-19 00:00:00
48,EXC004,OP006,compact,45.2,56.0,rainy,sand,mid,6.7,17.9,1,2024-08-12 00:00:00
49,EXC003,OP004,dig,56.8,67.2,sunny,loam,mid,13.6,12.8,1,2024-06-20 00:00:00
50,EXC004,OP006,trench,57.1,88.4,windy,rock,mid,13.0,12.2,1,2024-06-23 00:00:00
51,EXC002,OP010,dig,56.2,70.3,sunny,clay,junior,8.3,5.6,1,2024-06-18 00:00:00
52,EXC001,OP002,dig,55.2,53.4,cloudy,clay,mid,8.2,10.3,1,2024-05-23 00:00:00
53,EXC005,OP009,grade,41.7,70.7,windy,rock,mid,7.9,11.0,1,2024-06-10 00:00:00
54,EXC005,OP002,compact,51.0,61.3,rainy,sand,senior,11.2,17.1,1,2024-09-14 00:00:00
55,EXC004,OP007,dig,52.3,63.8,rainy,sand,senior,5.1,10.3,1,2024-10-21 00:00:00
56,EXC005,OP009,grade,48.8,62.8,sunny,sand,junior,14.2,22.5,1,2024-07-23 00:00:00
57,EXC004,OP006,dig,59.9,68.3,windy,clay,senior,8.0,15.3,0,2024-09-15 00:00:00
58,EXC001,OP002,grade,35.5,33.8,sunny,loam,senior,3.3,6.2,1,2024-06-08 00:00:00
59,EXC005,OP010,compact,47.4,69.5,sunny,rock,mid,11.0,14.9,1,2024-06-23 00:00:00
60,EXC002,OP004,trench,74.5,89.3,sunny,clay,mid,11.5,8.1,1,2024-06-21 00:00:00
61,EXC001,OP003,compact,38.7,56.2,sunny,clay,junior,0.1,5.4,1,2024-04-17 00:00:00
62,EXC004,OP010,load,25.2,63.7,windy,rock,mid,12.0,16.2,1,2024-08-21 00:00:00
63,EXC004,OP009,trench,71.3,108.5,windy,rock,junior,8.8,21.2,1,2024-03-17 00:00:00
64,EXC002,OP001,compact,36.2,60.0,rainy,loam,senior,14.4,21.0,1,2024-04-30 00:00:00
65,EXC001,OP003,compact,42.5,37.1,windy,sand,senior,2.4,21.2,1,2024-06-07 00:00:00
66,EXC005,OP005,dig,64.2,77.6,rainy,sand,mid,10.4,24.0,1,2024-01-26 00:00:00
67,EXC005,OP002,load,34.5,51.5,cloudy,clay,junior,7.2,15.6,1,2024-10-27 00:00:00
68,EXC005,OP003,compact,43.0,88.0,rainy,rock,senior,13.7,16.4,1,2024-07-11 00:00:00
69,EXC005,OP002,dig,55.7,65.2,cloudy,rock,senior,0.5,17.6,1,2024-06-22 00:00:00
70,EXC001,OP007,compact,40.7,69.2,windy,clay,mid,14.1,15.8,1,2024-06-23 00:00:00
71,EXC005,OP003,grade,46.7,51.2,cloudy,clay,senior,6.8,15.0,1,2024-05-01 00:00:00
72,EXC003,OP002,compact,46.9,86.9,cloudy,rock,junior,11.0,15.0,1,2024-10-03 00:00:00
73,EXC003,OP004,load,33.5,30.7,sunny,sand,senior,4.8,17.7,1,2024-04-21 00:00:00
74,EXC003,OP009,grade,43.7,61.6,rainy,clay,senior,14.3,22.6,1,2024-11-24 00:00:00
75,EXC002,OP008,grade,46.9,39.1,cloudy,sand,senior,3.4,7.3,0,2024-08-07 00:00:00
76,EXC005,OP004,trench,67.9,80.4,windy,clay,senior,4.8,10.4,1,2024-09-06 00:00:00
77,EXC005,OP001,compact,37.6,83.8,rainy,rock,junior,3.3,6.8,1,2024-07-08 00:00:00
78,EXC005,OP002,dig,54.3,71.2,windy,loam,junior,3.0,16.9,1,2024-12-06 00:00:00
79,EXC001,OP010,load,29.5,60.4,rainy,rock,junior,0.2,20.3,1,2024-09-21 00:00:00
80,EXC005,OP004,compact,41.8,68.6,rainy,loam,junior,13.2,16.9,1,2024-01-28 00:00:00
81,EXC002,OP001,load,31.9,38.9,rainy,loam,senior,2.5,20.4,1,2024-02-18 00:00:00
82,EXC005,OP002,trench,65.6,104.2,rainy,clay,junior,7.9,23.2,1,2024-09-20 00:00:00
83,EXC004,OP003,compact,40.6,57.1,windy,loam,junior,8.7,22.1,1,2024-08-06 00:00:00
84,EXC002,OP007,compact,31.5,65.8,rainy,rock,mid,12.6,14.3,1,2024-11-20 00:00:00
85,EXC004,OP007,compact,40.5,46.3,sunny,loam,mid,0.3,15.2,1,2024-07-03 00:00:00
86,EXC004,OP005,dig,45.6,69.7,windy,clay,junior,7.7,7.2,0,2024-07-31 00:00:00
87,EXC001,OP003,load,17.7,21.7,cloudy,clay,mid,3.0,10.8,1,2024-07-23 00:00:00
88,EXC002,OP002,dig,66.0,75.6,windy,clay,senior,6.3,11.0,1,2024-08-09 00:00:00
89,EXC004,OP005,grade,42.1,57.7,windy,rock,senior,7.2,18.9,1,2024-11-25 00:00:00
90,EXC004,OP003,compact,36.1,39.1,windy,loam,senior,10.9,22.0,0,2024-05-01 00:00:00
91,EXC002,OP001,load,27.1,55.8,rainy,sand,mid,13.0,11.9,1,2024-10-10 00:00:00
92,EXC002,OP007,load,29.1,40.6,windy,clay,mid,0.8,8.0,1,2024-02-14 00:00:00
93,EXC005,OP002,load,28.4,54.6,cloudy,rock,mid,1.5,14.6,1,2024-04-28 00:00:00
94,EXC001,OP007,load,24.4,30.4,sunny,clay,senior,2.6,24.6,1,2024-08-15 00:00:00
95,EXC004,OP008,load,34.8,63.8,windy,rock,mid,11.2,5.8,0,2024-01-14 00:00:00
96,EXC005,OP006,dig,63.1,73.8,windy,sand,mid,13.6,4.5,1,2024-01-19 00:00:00
97,EXC003,OP009,load,28.3,34.2,cloudy,clay,mid,7.9,12.7,1,2024-10-09 00:00:00
98,EXC001,OP009,grade,37.7,56.7,windy,rock,senior,5.0,5.0,1,2024-06-22 00:00:00
99,EXC002,OP007,dig,54.3,66.9,sunny,rock,mid,6.4,11.5,1,2024-07-30 00:00:00
100,EXC003,OP010,trench,69.7,80.6,cloudy,loam,junior,3.9,19.6,1,2024-11-28 00:00:00
101,EXC001,OP003,compact,44.2,49.7,rainy,sand,senior,6.5,22.5,1,2024-11-22 00:00:00
102,EXC001,OP003,compact,37.1,71.2,rainy,rock,mid,5.6,7.6,1,2024-09-12 00:00:00
103,EXC002,OP008,load,23.2,36.7,windy,rock,senior,9.8,21.1,1,2024-06-18 00:00:00
104,EXC003,OP004,dig,51.4,74.6,windy,sand,junior,12.1,19.5,1,2024-03-08 00:00:00
105,EXC002,OP004,compact,36.0,33.5,cloudy,sand,mid,9.7,1.3,1,2024-04-02 00:00:00
106,EXC005,OP003,load,31.0,40.6,rainy,clay,senior,5.5,19.8,1,2024-07-22 00:00:00
107,EXC005,OP001,trench,74.4,78.2,sunny,loam,junior,6.0,24.1,1,2024-08-12 00:00:00
108,EXC005,OP004,compact,38.6,44.7,cloudy,clay,junior,9.8,23.6,1,2024-01-11 00:00:00
109,EXC005,OP008,compact,32.2,29.4,windy,loam,senior,2.4,9.7,0,2024-08-25 00:00:00
110,EXC002,OP008,dig,56.3,69.8,windy,rock,senior,10.3,8.7,0,2024-04-20 00:00:00
111,EXC004,OP009,trench,71.9,115.2,rainy,clay,junior,2.2,9.6,1,2024-09-01 00:00:00
112,EXC004,OP004,grade,50.9,61.4,cloudy,sand,junior,0.3,17.2,1,2024-03-01 00:00:00
113,EXC001,OP010,load,29.9,38.3,sunny,clay,mid,3.4,18.4,1,2024-04-21 00:00:00
114,EXC002,OP006,trench,80.5,78.2,cloudy,loam,senior,11.8,24.8,0,2024-03-15 00:00:00
115,EXC004,OP008,dig,54.0,64.4,sunny,loam,junior,10.2,18.0,1,2024-02-07 00:00:00
116,EXC001,OP006,load,37.0,66.5,windy,loam,junior,10.2,13.2,1,2024-11-17 00:00:00
117,EXC005,OP010,compact,33.3,46.3,sunny,rock,senior,0.4,1.0,1,2024-07-09 00:00:00
118,EXC005,OP007,compact,40.1,46.0,cloudy,clay,senior,2.7,1.4,1,2024-02-27 00:00:00
119,EXC002,OP006,grade,44.6,65.6,rainy,loam,mid,10.8,21.3,1,2024-03-09 00:00:00
120,EXC002,OP010,dig,57.5,72.9,rainy,loam,mid,1.2,2.7,1,2024-07-01 00:00:00
121,EXC005,OP004,load,21.2,39.8,windy,loam,junior,5.0,9.7,1,2024-10-10 00:00:00
122,EXC004,OP001,compact,40.7,62.5,windy,rock,senior,0.9,2.2,1,2024-11-25 00:00:00
123,EXC002,OP008,dig,57.2,92.7,rainy,clay,mid,10.6,15.6,1,2024-04-24 00:00:00
124,EXC004,OP004,dig,44.0,55.1,sunny,rock,senior,8.5,13.2,1,2024-09-16 00:00:00
125,EXC004,OP002,trench,71.1,73.7,cloudy,loam,mid,10.5,14.2,1,2024-07-21 00:00:00
126,EXC003,OP008,dig,50.3,69.5,windy,clay,senior,12.4,3.7,1,2024-11-22 00:00:00
127,EXC005,OP008,load,20.0,41.1,sunny,rock,senior,0.2,18.8,1,2024-10-23 00:00:00
128,EXC001,OP002,grade,54.6,85.6,rainy,rock,senior,5.5,23.9,1,2024-04-12 00:00:00
129,EXC005,OP006,load,28.3,69.3,rainy,clay,junior,0.9,11.3,1,2024-01-14 00:00:00
130,EXC005,OP004,grade,48.3,49.5,cloudy,sand,mid,8.9,17.8,1,2024-04-04 00:00:00
131,EXC004,OP008,trench,78.1,106.9,rainy,clay,junior,6.1,8.9,1,2024-02-01 00:00:00
132,EXC004,OP010,compact,38.1,60.7,rainy,clay,mid,14.9,13.3,1,2024-11-23 00:00:00
133,EXC004,OP004,trench,71.6,75.0,sunny,loam,junior,7.9,21.4,1,2024-07-14 00:00:00
134,EXC005,OP001,dig,50.0,73.1,sunny,clay,junior,12.9,19.0,1,2024-04-22 00:00:00
135,EXC005,OP007,load,34.8,42.1,sunny,sand,junior,8.0,11.8,1,2024-07-20 00:00:00
136,EXC003,OP009,load,32.1,28.0,cloudy,sand,senior,13.6,6.8,1,2024-04-14 00:00:00
137,EXC003,OP003,compact,40.4,53.8,sunny,sand,junior,11.4,9.0,0,2024-08-26 00:00:00
138,EXC005,OP007,grade,41.7,57.2,sunny,clay,junior,4.8,4.6,1,2024-01-13 00:00:00
139,EXC001,OP001,load,25.9,30.3,sunny,sand,senior,14.6,17.8,1,2024-07-16 00:00:00
140,EXC003,OP008,trench,70.3,101.1,windy,rock,mid,3.5,6.4,1,2024-09-02 00:00:00
141,EXC001,OP007,grade,35.2,45.5,cloudy,sand,junior,0.7,9.7,1,2024-10-08 00:00:00
142,EXC005,OP002,dig,53.4,77.7,windy,sand,junior,14.5,7.9,1,2024-02-06 00:00:00
143,EXC005,OP010,load,33.5,42.2,sunny,clay,mid,12.0,16.2,1,2024-08-12 00:00:00
144,EXC001,OP006,compact,39.9,59.0,windy,rock,mid,5.5,2.9,1,2024-05-08 00:00:00
145,EXC005,OP004,dig,59.3,76.2,rainy,loam,mid,8.2,21.4,1,2024-06-19 00:00:00
146,EXC003,OP006,trench,69.3,76.7,cloudy,sand,junior,2.9,3.1,1,2024-12-22 00:00:00
147,EXC001,OP004,dig,51.7,77.9,rainy,clay,mid,14.8,9.5,1,2024-07-19 00:00:00
148,EXC002,OP006,load,22.9,35.4,sunny,rock,mid,6.4,18.8,1,2024-01-17 00:00:00
149,EXC005,OP010,compact,40.8,42.1,sunny,loam,mid,5.7,14.3,1,2024-08-16 00:00:00
150,EXC003,OP006,grade,42.6,75.3,rainy,rock,senior,14.8,24.6,1,2024-05-03 00:00:00
151,EXC001,OP006,grade,46.5,67.8,windy,loam,junior,8.5,14.1,1,2024-09-09 00:00:00
152,EXC002,OP009,compact,39.6,54.1,sunny,clay,junior,8.2,16.0,1,2024-04-08 00:00:00
153,EXC004,OP005,trench,76.2,80.4,sunny,loam,mid,6.7,13.0,1,2024-06-21 00:00:00
154,EXC003,OP006,grade,34.3,51.3,windy,rock,senior,0.2,3.6,1,2024-09-08 00:00:00
155,EXC004,OP008,grade,49.3,49.5,cloudy,sand,senior,14.6,11.7,1,2024-09-10 00:00:00
156,EXC002,OP002,dig,52.6,78.3,rainy,sand,junior,6.2,22.7,1,2024-12-29 00:00:00
157,EXC005,OP003,compact,41.7,56.8,windy,sand,mid,10.8,12.9,1,2024-10-12 00:00:00
158,EXC002,OP008,compact,36.4,39.1,windy,sand,senior,7.6,2.7,1,2024-09-21 00:00:00
159,EXC005,OP003,load,28.0,39.1,sunny,clay,mid,2.0,16.2,1,2024-05-17 00:00:00
160,EXC005,OP004,grade,49.4,63.2,cloudy,clay,mid,14.3,7.3,1,2024-10-20 00:00:00
161,EXC001,OP004,grade,45.7,44.4,cloudy,loam,mid,0.6,19.1,1,2024-06-01 00:00:00
162,EXC004,OP001,dig,48.0,85.6,cloudy,rock,mid,11.1,23.1,1,2024-07-12 00:00:00
163,EXC004,OP007,dig,53.4,91.5,sunny,rock,junior,2.1,9.4,1,2024-02-19 00:00:00
164,EXC002,OP004,dig,60.5,72.4,cloudy,clay,mid,0.1,16.2,1,2024-08-12 00:00:00
165,EXC005,OP009,load,31.6,64.3,windy,rock,mid,12.5,23.5,1,2024-10-15 00:00:00
166,EXC001,OP003,grade,45.6,57.4,windy,rock,senior,8.5,12.9,1,2024-06-17 00:00:00
167,EXC004,OP002,compact,38.4,49.6,windy,clay,mid,3.2,4.6,1,2024-04-12 00:00:00
168,EXC005,OP001,compact,38.5,32.7,cloudy,loam,senior,2.3,1.7,1,2024-08-11 00:00:00
169,EXC004,OP009,grade,46.0,81.5,sunny,rock,junior,7.8,15.5,1,2024-06-24 00:00:00
170,EXC005,OP006,trench,75.2,88.1,sunny,clay,junior,4.3,7.1,1,2024-06-12 00:00:00
171,EXC002,OP009,grade,39.2,60.9,rainy,clay,senior,9.5,14.7,1,2024-07-24 00:00:00
172,EXC002,OP007,load,28.5,57.1,windy,rock,mid,1.6,25.0,1,2024-12-15 00:00:00
173,EXC004,OP005,grade,36.4,34.5,cloudy,sand,senior,4.9,7.2,1,2024-02-07 00:00:00
174,EXC002,OP007,load,34.8,57.9,sunny,loam,junior,12.8,9.8,1,2024-08-17 00:00:00
175,EXC004,OP001,grade,45.2,63.0,windy,rock,senior,2.2,16.5,1,2024-07-23 00:00:00
176,EXC002,OP008,load,37.3,53.9,rainy,sand,senior,14.3,1.1,1,2024-03-01 00:00:00
177,EXC004,OP006,dig,55.5,82.1,rainy,loam,junior,2.4,8.7,1,2024-07-19 00:00:00
178,EXC005,OP003,load,21.5,29.6,sunny,clay,senior,9.1,6.4,1,2024-10-14 00:00:00
179,EXC003,OP008,trench,77.4,104.7,rainy,rock,mid,7.4,4.9,1,2024-09-12 00:00:00
180,EXC001,OP004,trench,71.2,103.1,rainy,loam,junior,1.0,10.6,1,2024-05-02 00:00:00
181,EXC001,OP008,grade,44.3,59.6,windy,clay,senior,8.8,19.5,1,2024-08-22 00:00:00
182,EXC002,OP004,compact,33.3,41.9,windy,loam,mid,6.5,13.2,1,2024-12-15 00:00:00
183,EXC001,OP005,trench,71.5,103.5,sunny,rock,mid,13.0,2.6,1,2024-12-13 00:00:00
184,EXC004,OP002,grade,44.2,67.5,rainy,clay,mid,11.3,9.3,1,2024-01-08 00:00:00
185,EXC003,OP006,compact,42.2,80.0,sunny,rock,junior,4.5,22.5,1,2024-06-18 00:00:00
186,EXC005,OP004,compact,28.6,38.1,windy,loam,junior,5.1,21.1,1,2024-05-28 00:00:00
187,EXC002,OP005,load,30.0,62.2,windy,clay,junior,10.5,9.9,1,2024-03-20 00:00:00
188,EXC005,OP004,trench,71.5,91.5,windy,sand,junior,6.0,18.4,1,2024-05-14 00:00:00
189,EXC004,OP001,grade,49.0,55.0,cloudy,clay,mid,8.5,22.9,1,2024-10-18 00:00:00
190,EXC001,OP005,compact,35.8,37.1,sunny,sand,senior,12.7,9.6,1,2024-10-14 00:00:00
191,EXC005,OP005,compact,37.2,41.4,sunny,clay,senior,8.3,14.1,1,2024-02-06 00:00:00
192,EXC002,OP002,compact,40.7,39.1,cloudy,loam,senior,4.4,23.6,1,2024-11-24 00:00:00
193,EXC004,OP003,load,29.8,49.9,windy,sand,junior,5.6,9.2,1,2024-12-27 00:00:00
194,EXC002,OP005,dig,55.2,75.0,sunny,rock,senior,11.2,6.0,1,2024-10-01 00:00:00
195,EXC005,OP004,load,36.7,39.0,windy,loam,senior,11.3,2.4,0,2024-09-29 00:00:00
196,EXC005,OP003,trench,65.8,113.5,rainy,rock,junior,12.3,22.0,1,2024-11-20 00:00:00
197,EXC005,OP002,trench,70.9,80.2,cloudy,clay,mid,2.0,25.0,0,2024-02-06 00:00:00
198,EXC004,OP001,load,26.7,32.7,windy,sand,mid,2.0,22.7,1,2024-07-08 00:00:00
199,EXC003,OP006,compact,37.8,29.0,sunny,loam,senior,4.8,9.7,1,2024-04-30 00:00:00
200,EXC004,OP009,trench,72.6,99.3,sunny,sand,junior,10.4,16.6,1,2024-11-03 00:00:00
201,EXC004,OP006,trench,70.1,75.2,sunny,loam,senior,10.9,6.3,1,2024-07-01 00:00:00
202,EXC004,OP008,grade,49.5,71.5,cloudy,rock,mid,8.7,5.4,1,2024-02-13 00:00:00
203,EXC001,OP004,trench,71.0,68.0,cloudy,loam,senior,8.8,10.3,1,2024-05-08 00:00:00
204,EXC003,OP007,dig,53.8,78.5,sunny,rock,senior,12.1,18.3,0,2024-01-06 00:00:00
205,EXC005,OP002,dig,49.2,69.3,sunny,clay,mid,13.4,23.8,1,2024-10-14 00:00:00
206,EXC003,OP008,load,29.4,35.8,cloudy,clay,senior,6.4,6.6,1,2024-01-31 00:00:00
207,EXC005,OP007,load,37.7,40.8,cloudy,rock,senior,7.9,15.7,1,2024-10-19 00:00:00
208,EXC001,OP005,dig,58.2,52.5,cloudy,sand,senior,12.2,19.7,1,2024-05-16 00:00:00
209,EXC003,OP003,grade,43.7,44.3,sunny,clay,senior,2.4,13.0,1,2024-02-27 00:00:00
210,EXC001,OP005,dig,50.4,77.3,rainy,sand,junior,10.9,21.1,1,2024-11-16 00:00:00
211,EXC003,OP006,load,36.7,37.5,rainy,loam,senior,3.5,19.9,1,2024-12-17 00:00:00
212,EXC001,OP005,load,27.4,58.1,windy,rock,junior,12.9,20.8,0,2024-01-03 00:00:00
213,EXC001,OP001,grade,47.9,90.6,windy,rock,junior,15.0,14.2,1,2024-01-31 00:00:00
214,EXC004,OP005,trench,74.7,93.2,rainy,loam,mid,3.7,4.8,1,2024-07-22 00:00:00
215,EXC002,OP009,load,33.6,37.2,sunny,clay,senior,7.0,9.5,1,2024-01-28 00:00:00
216,EXC001,OP005,compact,41.5,53.4,rainy,clay,senior,13.7,24.5,1,2024-10-21 00:00:00
217,EXC003,OP008,trench,61.3,66.6,windy,loam,mid,2.0,5.1,1,2024-12-17 00:00:00
218,EXC004,OP001,grade,42.1,55.8,windy,clay,mid,11.3,12.1,1,2024-12-23 00:00:00
219,EXC001,OP001,dig,44.3,49.5,windy,loam,senior,9.8,3.7,1,2024-12-17 00:00:00
220,EXC004,OP009,dig,64.1,87.2,rainy,sand,junior,0.9,14.8,1,2024-09-21 00:00:00
221,EXC005,OP001,dig,54.5,59.8,sunny,sand,senior,11.6,5.6,1,2024-03-10 00:00:00
222,EXC001,OP006,compact,26.8,36.3,cloudy,loam,senior,13.4,6.3,0,2024-11-15 00:00:00
223,EXC005,OP002,load,34.4,40.6,sunny,loam,mid,14.1,20.4,1,2024-03-22 00:00:00
224,EXC004,OP002,dig,50.8,65.7,cloudy,clay,mid,14.9,14.4,1,2024-06-26 00:00:00
225,EXC002,OP005,trench,67.5,68.0,rainy,loam,senior,3.2,22.1,1,2024-01-04 00:00:00
226,EXC003,OP007,compact,46.9,50.6,windy,sand,mid,12.8,3.9,0,2024-05-21 00:00:00
227,EXC002,OP003,load,29.8,59.6,rainy,rock,mid,12.4,19.8,0,2024-12-02 00:00:00
228,EXC003,OP004,compact,38.2,42.0,cloudy,sand,mid,6.8,9.8,1,2024-08-22 00:00:00
229,EXC004,OP010,trench,77.2,121.2,rainy,clay,junior,4.6,16.6,1,2024-10-03 00:00:00
230,EXC002,OP002,dig,54.0,61.4,sunny,loam,junior,2.9,22.5,1,2024-02-16 00:00:00
231,EXC002,OP002,compact,37.3,51.0,cloudy,clay,junior,7.4,11.5,1,2024-06-02 00:00:00
232,EXC003,OP002,load,28.3,41.5,windy,loam,junior,10.5,1.3,0,2024-05-22 00:00:00
233,EXC001,OP005,trench,72.2,78.7,cloudy,sand,junior,8.8,19.4,1,2024-11-26 00:00:00
234,EXC001,OP004,grade,38.4,50.5,windy,sand,mid,14.2,17.7,1,2024-07-28 00:00:00
235,EXC004,OP006,load,27.0,35.4,windy,sand,junior,9.4,15.7,1,2024-10-26 00:00:00
236,EXC005,OP010,grade,52.6,72.7,sunny,rock,mid,7.3,14.4,1,2024-04-29 00:00:00
237,EXC002,OP005,compact,33.9,25.6,sunny,loam,senior,1.6,5.4,1,2024-08-11 00:00:00
238,EXC003,OP003,trench,66.2,71.8,windy,loam,mid,4.9,11.4,1,2024-10-19 00:00:00
239,EXC002,OP008,dig,51.8,87.2,rainy,rock,junior,3.4,12.6,1,2024-12-06 00:00:00
240,EXC005,OP006,dig,52.8,62.4,cloudy,rock,senior,10.2,16.4,1,2024-09-18 00:00:00
241,EXC004,OP002,compact,43.6,60.2,rainy,sand,senior,11.5,9.7,1,2024-05-31 00:00:00
242,EXC005,OP006,compact,45.2,66.0,rainy,loam,mid,2.0,23.5,0,2024-05-05 00:00:00
243,EXC003,OP002,load,25.3,28.0,sunny,clay,senior,4.8,18.7,1,2024-11-21 00:00:00
244,EXC001,OP008,grade,41.3,48.6,sunny,loam,senior,10.7,6.4,1,2024-01-09 00:00:00
245,EXC005,OP008,load,31.3,31.8,cloudy,sand,senior,4.3,3.0,1,2024-06-16 00:00:00
246,EXC005,OP001,grade,44.9,74.2,rainy,rock,senior,3.3,24.0,0,2024-06-02 00:00:00
247,EXC001,OP001,load,26.7,19.1,sunny,clay,senior,7.5,15.7,1,2024-05-18 00:00:00
248,EXC004,OP006,dig,59.5,68.7,sunny,clay,mid,1.3,23.4,1,2024-09-22 00:00:00
249,EXC003,OP006,compact,31.0,51.1,rainy,sand,mid,11.2,1.8,1,2024-01-25 00:00:00
250,EXC004,OP007,compact,38.0,62.8,rainy,rock,mid,1.3,3.2,1,2024-03-15 00:00:00
251,EXC002,OP001,grade,38.1,75.2,windy,rock,junior,8.8,3.8,1,2024-02-01 00:00:00
252,EXC002,OP007,grade,41.1,73.3,cloudy,rock,junior,12.5,3.1,1,2024-08-11 00:00:00
253,EXC002,OP005,load,21.6,33.0,rainy,sand,senior,3.7,20.2,1,2024-07-31 00:00:00
